"Observation","Cook_Distance","DFFITS","Hat_Value","Covariance_Ratio"
1,0.00198233794039185,0.116120070914332,0.0250551128841454,1.03264811860241
2,0.00377795648585213,-0.1605375578641,0.0130101294264523,0.999546484102584
3,0.000181693332183632,0.0351404848473487,0.0109586032425204,1.02392862507771
4,0.00258442285536471,-0.13266692194194,0.0154615149821453,1.01396470800398
5,0.00118655589477428,0.0898274400373218,0.0196528577193502,1.02874270074381
6,0.000342349578494284,0.0482420223198026,0.00987327351660107,1.02103390945129
7,6.76254355234162e-05,0.0214376609371703,0.00615746355749928,1.01952253466523
8,0.000221211575409793,0.0387771407072126,0.00783220072643593,1.01955540792682
9,0.00194305027050352,-0.114987956225744,0.017710088100921,1.02189180587878
10,0.000370255648782423,0.0501672629894588,0.013496624088922,1.02550478196677
11,9.00779425754633e-05,0.0247420955446811,0.00699722987274611,1.02020042575168
12,0.000758702681885561,0.0718320372172341,0.0115197972937531,1.0196948312858
13,0.00421445028809675,0.16944948855502,0.0212473702866871,1.01704001409704
14,0.00103008274307627,-0.0837102515068415,0.0119499389331451,1.01815953591634
15,0.000338262884755366,0.0479514573976403,0.0115494182947627,1.02329781626863
16,0.000689479850165928,0.0684695755218139,0.0136310187456407,1.02338223910871
17,0.00240440664549845,-0.127973380462042,0.0134665639940997,1.01077997917331
18,0.00158029876150803,0.103683248568393,0.0184657541952302,1.0250345635628
19,0.00152802599942948,0.101943679705824,0.0215923858847726,1.02978016916663
20,0.000896295098224799,0.0780709061899227,0.0150030200743315,1.02392048748662
21,4.12900026186219e-05,0.0167508122347342,0.00528189837265338,1.01893434237982
22,0.00313450541406772,-0.146122825519007,0.016924496807801,1.0137527177913
23,0.000154280004279113,0.032380594112993,0.0112522165580323,1.02451413573431
24,0.000315539444223345,0.0463140515125959,0.00953512351899943,1.02083886593072
25,8.95864844721922e-05,0.0246743596917401,0.00759703837526814,1.02092369513032
26,0.00410305343985719,-0.167131739275957,0.0285845576425456,1.03016743028062
27,0.00118992290872354,0.0899502401001256,0.0224023412530316,1.03236120837606
28,0.000245727687318962,0.0408667617117554,0.0132824978062882,1.02615597214272
29,0.000165405667868093,0.0335285938879867,0.00959662919473949,1.02245409529762
30,0.00493495452331572,-0.183567051738183,0.0137246148032297,0.993684926414713
31,0.00145667841019351,0.0995744396492541,0.0113971194685634,1.01354085766398
32,8.69476307790607e-05,0.024308187138852,0.00744870984084775,1.02078265850195
33,0.000676336866517212,0.0678166335656644,0.0119644603414049,1.02106712098065
34,0.0116645120856104,-0.283917817360167,0.00951901464859465,0.909779855001614
35,1.10051784971715e-05,0.00864766563173545,0.00368019493617229,1.01776815683239
36,0.000822707537480782,-0.0747990862488659,0.0130795534332889,1.02160530178767
37,0.00122047848656675,0.0911103721161853,0.0166871339244847,1.02437747305464
38,0.0045363479694922,0.17584173329647,0.0195891615567129,1.01208622878025
39,0.000108835814925256,0.0271964435778951,0.00882550900664084,1.02213760240717
